=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.04.18 19:21:54 =~=~=~=~=~=~=~=~=~=~=~=
[18/04/14 - 19:21:54:020] Output: 0%	0[18/04/14 - 19:21:54:022] 
Output: 10%	25[18/04/14 - 19:21:54:831] 
Output: 20%	51[18/04/14 - 19:21:55:623] 
Output: 30%	76[18/04/14 - 19:21:56:122] 
Output: 30%	76[18/04/14 - 19:22:10:096] 
Output: 40%	102[18/04/14 - 19:22:10:723] 
Output: 50%	127[18/04/14 - 19:22:14:236] 
Output: 70%	178[18/04/14 - 19:22:15:146] 
Output: 80%	204[18/04/14 - 19:22:15:382] 
Output: 90%	229[18/04/14 - 19:22:15:592] 
Output: 80%	204[18/04/14 - 19:22:18:082] 
Output: 70%	178[18/04/14 - 19:22:18:397] 
Output: 60%	153[18/04/14 - 19:22:20:399] 
Output: 50%	127[18/04/14 - 19:22:20:473] 
Output: 40%	102[18/04/14 - 19:22:20:588] 
Output: 30%	76[18/04/14 - 19:22:22:497] 
Output: 20%	51[18/04/14 - 19:22:22:952] 
Output: 10%	25[18/04/14 - 19:22:23:524] 
Output: 20%	51[18/04/14 - 19:22:24:961] 
Output: 30%	76[18/04/14 - 19:22:25:310] 
