=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.04.24 18:32:47 =~=~=~=~=~=~=~=~=~=~=~=
[24/04/14 - 18:32:47:834] 18:32:46	 Battery: 104%	Tc: 2475[24/04/14 - 18:32:47:836] 
18:32:47	 Battery: 104%	Tc: 2475[24/04/14 - 18:32:48:491] 
18:32:56	 Battery: 104%	Tc: 2475[24/04/14 - 18:32:57:847] 
18:32:56	 Battery: 104%	Tc: 2475[24/04/14 - 18:32:58:485] 
18:33:06	 Battery: 104%	Tc: 2475[24/04/14 - 18:33:07:843] 
18:33:06	 Battery: 104%	Tc: 2475[24/04/14 - 18:33:08:467] 
18:33:16	 Battery: 104%	Tc: 2475[24/04/14 - 18:33:17:840] 
18:33:16	 Battery: 104%	Tc: 2475[24/04/14 - 18:33:18:477] 
18:33:26	 Battery: 104%	Tc: 2475[24/04/14 - 18:33:27:836] 
18:33:26	 Battery: 104%	Tc: 2475[24/04/14 - 18:33:28:474] 
[24/04/14 - 18:55:37:865] 18:55:36	 Battery: 87%	Tc: 2549[24/04/14 - 18:55:37:882] 
18:55:37	 Battery: 87%	Tc: 2549[24/04/14 - 18:55:38:505] 
18:59:12	 Battery: 91%	Tc: 2524[24/04/14 - 18:59:14:149] 
18:59:13	 Battery: 91%	Tc: 2524[24/04/14 - 18:59:14:772] 
